,Homepage,česky,ukrajinsky
,,"Na emailovou adresu jsme vám zaslali ověřovací email. Po jeho potvrzení bude vaše nabídka zpřístupněna v neveřejné sekci databáze pomahejukrajine.cz, a to z důvodu bezpečnosti a ochrany vašeho soukromí.",Вам був надісланим електронний лист для підтвердження на вашої електронної адреси. Після підтвердження ваша пропозиція буде доступна в закритому розділі бази даних pomahejukrajine.cz з міркувань безпеки та захисту вашої конфіденційності.
,,"K nabídce budou mít přístup pouze pracovníci z pomáhajících organizací, registrovaných v platformě Pomáhej Ukrajině. V okamžiku, kdy pro vaši nabídku bude mít některá z organizací využití, ozve se vám.","Доступ до пропозиції матимуть лише працівники організацій, що зареєстровані на платформі Допомагай Україні. З вами зв’яжуться щойно одна з організацій буде знати, як краще використати вашу пропозицію."
,Registrační formulář pro vložení nabídky pomoci,Registrační formulář pro vložení nabídky pomoci,Форма/бланк для надання допомоги.
,,"Vyplňte kontaktní informace o sobě a další informace o pomoci, kterou nabízíte. Po odeslání formuláře Vám do emailu přijde odkaz, prostřednictvím něhož ověříte svůj email. Ten bude sloužit jako vaše přihlašovací jméno do uživatelského účtu se seznamem vašich nabídek pomoci.","Заповніть контактну інформацію про себе та іншу інформацію про допомогу, яку ви пропонуєте. Після відправлення форми/бланку ви отримаєте посилання на свою електронну пошту, за яким ви зможете підтвердити свою електронну адресу. Це буде вашим логіном до вашого облікового запису користувача зі списком ваших пропозицій допомоги."
,,"Nabídky z většiny kategorií budou na platformě pomahejukrajině.cz zveřejněny všem, kteří zde pomoc hledají. Vaše osobní údaje nebudou u nabídky uvedeny. Ten kdo o pomoc požádá, Vás bude kontaktovat prostřednictvím formuláře.","Пропозиції з більшості категорій будуть опубліковані у вільному доступі для всіх, хто шукає допомоги на платформі pomahejukrajíně.cz. Ваші особисті дані не будуть видимі у пропозиції. Людина, яка звернеться до вас по допомогу, зв'яжеться з вами через форму/бланк."
,,"Pouze nabídky ubytování, právní pomoci, administrativní pomoci v institucích, velké nabídky a jiné nabídky (které se nevešly do nabízených kategorií) se zobrazí pouze registrovaným uživatelům z pomáhajících organizací, a to z důvodu větší bezpečnosti a ochrany vašeho soukromí.","Лише пропозиції щодо надання житла, юридичної допомоги, адміністративної допомоги в установах чи великі пропозиції та інші пропозиції, які не підходять до запропонованих категорій, будуть показані лише зареєстрованим організаціям, що допомагають. Це зроблено з міркувань більшої безпеки та захисту вашої конфіденційності."
,,Děkujeme za vložení nabídky!,"Дякуємо за те, що ви додали нову пропозицію допомоги!"
,,"Na emailovou adresu jsme vám zaslali ověřovací email. Po jeho potvrzení bude vaše nabídka zpřístupněna v příslušné sekci platformy a vytvoří se Vám uživatelský účet, ve kterém budete moci svou nabídku upravovat.","Вам був надісланий електронний лист для підтвердження на вашу електронну адресу. Після підтвердження ваша пропозиція стане доступною у відповідному розділі платформи, а також для вас буде створено обліковий запис користувача, у якому ви зможете редагувати свою пропозицію."
,,"Pokud bude na Vaši nabídku pomoci kdokoliv reagovat, přijde Vám od nás do emailu zpráva, která bude obsahovat telefonní číslo dané osoby, její emailovou adresu a text s poptávkou po vaší pomoci. Dál už bude na Vás, abyste se zkontaktovali.","Якщо хтось відповість на вашу пропозицію допомоги, то вам надійде електронний лист із даними особи: номером телефону, електронною поштою та текстом із проханням про вашу допомогу. Увесь подальший зв'язок з людиною, яка зацікавлена у вашій допомозі, залежить від вас."
,,"(Upozornění: Na Ukrajině se používají emailové adresy, které na nás mohou působit nezvykle až neseriózně. Mezi Ukrajinci jsou ale běžně používané).","(Увага: електронні адреси, що використовуються в Україні, можуть здатися вам незвичайними або навіть несерйозними. Однак вони широко використовуються серед українців)."
